id,name,year,tech_group,vendor_or_product,cve,vector,impact_summary,impact_quantified,uk_relevance,source_url,confidence
CPCID-001,Ivanti Connect Secure zero-day mass exploitation,2024,networking_equipment,Ivanti Connect Secure / Policy Secure SSL-VPN and NAC gateway,CVE-2023-46805;CVE-2024-21887;CVE-2024-21888;CVE-2024-21893;CVE-2024-22024,Chained authentication bypass plus command injection giving unauthenticated remote code execution on internet-facing gateway,Suspected Chinese state actor (UTA0178 / UNC5221) deployed custom webshells and backdoors for credential theft and lateral movement; CISA Emergency Directive ED 24-01 forced US federal disconnection,Volexity found evidence of compromise on over 1700 ICS appliances,high,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-060b,high
CPCID-002,Fortinet FortiOS / FortiGate SSL-VPN mass exploitation,2022,networking_equipment,Fortinet FortiOS on FortiGate firewalls (SSL-VPN daemon) and FortiProxy,CVE-2022-42475;CVE-2024-21762;CVE-2024-55591,Multi-year exploitation of critical SSL-VPN flaws (heap overflow / out-of-bounds write / auth bypass) as zero-day and n-day for unauthenticated RCE and super-admin access,Confirmed nation-state espionage: Chinese state actors compromised a FortiGate on the Netherlands Ministry of Defence network deploying the COATHANGER implant (per Dutch MIVD/AIVD); April 2025 CISA/Fortinet warned of symlink post-exploitation persistence surviving patching,Earlier related CVE-2018-13379 leaked VPN credentials for approximately 50000 devices; the three headline SSL-VPN CVEs have no single corroborated victim-count aggregate,high,https://www.cisa.gov/news-events/alerts/2025/04/11/fortinet-releases-advisory-new-post-exploitation-technique-known-vulnerabilities,high
CPCID-003,Cisco ArcaneDoor (ASA/FTD) and IOS XE Web UI mass implant,2023,networking_equipment,Cisco ASA / Firepower Threat Defense and Cisco IOS XE (routers and switches),CVE-2024-20353;CVE-2024-20359;CVE-2024-20358;CVE-2023-20198;CVE-2023-20273,State-sponsored ArcaneDoor espionage implants on ASA/FTD (UAT4356 / STORM-1849) plus mass privilege-escalation and command-injection compromise of IOS XE Web UI creating rogue admin accounts,Full device takeover of perimeter and backbone routing/switching infrastructure; ArcaneDoor assessed as government-focused espionage; IOS XE compromise was one of the largest network-infrastructure mass-compromise events,Cortex Xpanse telemetry counted 22074 implanted IOS XE devices on 18 October 2023,high,https://blog.talosintelligence.com/arcanedoor-new-espionage-focused-campaign-found-targeting-perimeter-network-devices/,high
CPCID-004,Palo Alto PAN-OS GlobalProtect zero-day (Operation MidnightEclipse),2024,networking_equipment,Palo Alto Networks PAN-OS firewalls with GlobalProtect gateway/portal,CVE-2024-3400,Command injection in GlobalProtect giving unauthenticated arbitrary code execution as root (CVSS 10.0),"Actor UTA0218 (Volexity) deployed the UPSTYLE Python backdoor and reverse-proxy tooling, exfiltrated firewall configuration and moved laterally; NCSC published a dedicated advisory. A Volt Typhoon / Chinese-APT link was raised only as a low-confidence hypothesis, the confirmed actor label is UTA0218 and NOT confirmed as Volt Typhoon",not_corroborated,high,https://unit42.paloaltonetworks.com/cve-2024-3400/,high
CPCID-005,MOVEit Transfer mass exploitation (Cl0p),2023,software_firmware,Progress MOVEit Transfer managed file-transfer software,CVE-2023-34362;CVE-2023-35036;CVE-2023-35708,"Cl0p (TA505 / FIN11) exploited an SQL-injection zero-day for unauthenticated RCE and database access, deploying the LEMURLOOT webshell for pure data-theft extortion","UK impact came through payroll provider Zellis, cascading to BBC, British Airways and Boots employee payroll data (names, National Insurance numbers, some bank details)",2700+ organisations and roughly 93 to 95 million individuals affected (Emsisoft tally); defensible financial range approximately 6.5 to 10 billion USD (Emsisoft/IBM 165 USD-per-record). The 12bn USD figure is NOT corroborated by an authoritative source,high,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-158a,high
CPCID-006,XZ Utils backdoor,2024,software_firmware,XZ Utils / liblzma compression library (target: OpenSSH sshd via systemd),CVE-2024-3094,Multi-year social-engineering supply-chain compromise: a malicious maintainer (Jia Tan) planted an obfuscated backdoor in release tarballs (5.6.0 / 5.6.1) hooking the sshd RSA routine for pre-auth RCE (CVSS 10.0),"A near-miss not a mass compromise: backdoored versions reached only rolling/development branches (Fedora 40 beta/Rawhide, Debian unstable/testing, Kali, openSUSE Tumbleweed, Arch) and were caught by Andres Freund before propagating to stable enterprise releases",not_corroborated,medium,https://en.wikipedia.org/wiki/XZ_Utils_backdoor,high
CPCID-007,CUPS Linux printing vulnerabilities,2024,software_firmware,"OpenPrinting CUPS (cups-browsed, libcupsfilters, libppd, cups-filters) on Linux/Unix",CVE-2024-47076;CVE-2024-47175;CVE-2024-47176;CVE-2024-47177,Chained flaws let an unauthenticated attacker register a malicious printer whose unvalidated IPP attributes yield arbitrary command execution via foomatic-rip on a triggered print job,Real-world RCE severity moderated because cups-browsed is not enabled by default on many distributions (Red Hat rated components Important not Critical); the verified high-impact angle is DDoS amplification,Akamai showed CVE-2024-47176 enables approximately 600x DDoS amplification; found approximately 198000 internet-exposed devices of which approximately 58000 (34%) usable for reflection,medium,https://www.redhat.com/en/blog/red-hat-response-openprinting-cups-vulnerabilities,high
CPCID-008,Aisuru (TurboMirai) IoT DDoS botnet,2024,IoT,"Consumer/SOHO broadband routers, IP/CCTV cameras and DVRs running commodity OEM firmware",none,"Compromise of poorly secured consumer IoT via default/weak credentials plus known firmware exploits (Mirai-derived); no single defining CVE, aggregates many device-specific flaws; firmware-update-server propagation is researcher-reported (moderate confidence)","Record-breaking volumetric DDoS-for-hire against gaming platforms and internet infrastructure; UK-based compromised home routers/cameras become unwitting attack sources, relevant to the PSTI product-security regime","Cloudflare mitigated a 29.7 Tbps (approximately 14.1 billion packets/second) Aisuru attack in Q3 2025; estimated 1 to 4 million infected hosts globally (vendor telemetry, treat as indicative)",high,https://blog.cloudflare.com/ddos-threat-report-2025-q3/,medium
CPCID-009,KV-botnet / Volt Typhoon SOHO-router takedown,2023,IoT,"End-of-life SOHO routers (Cisco RV320/RV325, Netgear ProSafe)",none,Exploitation of end-of-life unpatched SOHO routers no longer receiving vendor updates to build covert proxy infrastructure for PRC actor Volt Typhoon; no single headline CVE (unfixable EoL-hardware flaws),FBI/DOJ obtained a court order (announced 31 January 2024) and remotely deleted KV-botnet malware and severed C2; removal was temporary (reboot could re-expose). Volt Typhoon assessed as pre-positioning for disruptive attacks on US CNI. UK NCSC co-sealed advisory AA24-038a and reporting confirms UK EoL Cisco routers were targeted,not_corroborated,high,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-038a,high
CPCID-010,Hikvision IP camera mass compromise (Moobot/Mirai),2021,IoT,Hikvision IP camera and NVR product lines running vulnerable web-server firmware,CVE-2021-36260,Unauthenticated pre-auth command injection in the embedded web server yielding root RCE with no credentials; compounded by weak default passwords; Moobot (Mirai variant) recruited devices into DDoS swarms,"Full device takeover enabling surveillance-feed interception, lateral movement and DDoS conscription; APT41/APT10 interest is reported not established (moderate confidence). In November 2022 the UK Government ordered removal of Hikvision cameras from sensitive central-government sites",As of 2023 approximately 80000 cameras remained exploitable (from a 285000-device sample) across approximately 2300 organisations in 100+ countries; UK had over 2000 vulnerable internet-facing endpoints,high,https://www.bleepingcomputer.com/news/security/over-80-000-exploitable-hikvision-cameras-exposed-online/,high
